,id,client_id,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,USER__current_age,USER__retirement_age,USER__birth_year,USER__birth_month,USER__gender,USER__latitude,USER__longitude,USER__per_capita_income,USER__yearly_income,USER__total_debt,USER__credit_score,USER__num_credit_cards
0,4524,825,Visa,Debit,2022-12-01,1,2,24295,2002-09-01,2008,0,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5
1,2731,825,Visa,Debit,2020-12-01,1,2,21968,2014-04-01,2014,0,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5
2,3701,825,Visa,Debit,2024-02-01,1,2,46414,2003-07-01,2004,0,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5
3,42,825,Visa,Credit,2024-08-01,0,1,12400,2003-01-01,2012,0,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5
4,4659,825,Mastercard,Debit (Prepaid),2009-03-01,1,1,28,2008-09-01,2009,0,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5
5,4537,1746,Visa,Credit,2003-09-01,1,1,27500,2003-09-01,2012,0,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5
6,1278,1746,Visa,Debit,2022-07-01,1,2,28508,2011-02-01,2011,0,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5
7,3687,1746,Mastercard,Debit,2022-06-01,1,2,9022,2003-07-01,2015,0,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5
8,3465,1746,Mastercard,Debit (Prepaid),2020-11-01,1,2,54,2010-06-01,2015,0,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5
9,3754,1746,Mastercard,Debit (Prepaid),2023-02-01,1,1,99,2006-07-01,2012,0,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5
10,5144,1718,Mastercard,Debit,2022-03-01,1,2,31599,2009-10-01,2009,0,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5
11,2029,1718,Mastercard,Debit,2023-07-01,0,2,27480,2002-03-01,2008,0,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5
12,2379,1718,Mastercard,Debit,2020-02-01,1,1,26743,2019-03-01,2019,0,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5
13,2732,1718,Visa,Debit,2020-06-01,1,1,31463,2014-04-01,2014,0,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5
14,4706,1718,Mastercard,Debit,2024-06-01,1,1,16055,2009-09-01,2009,0,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5
15,281,708,Visa,Credit,2015-05-01,1,2,98100,2011-01-01,2011,0,63,63,1957,1,Female,40.71,-73.99,163145,249925,202328,722,4
16,1106,708,Mastercard,Debit (Prepaid),2020-06-01,1,1,62,2007-02-01,2007,0,63,63,1957,1,Female,40.71,-73.99,163145,249925,202328,722,4
17,5621,708,Visa,Debit,2022-06-01,1,1,132439,2010-11-01,2011,0,63,63,1957,1,Female,40.71,-73.99,163145,249925,202328,722,4
18,5165,708,Visa,Debit,2020-06-01,1,1,125723,2009-10-01,2010,0,63,63,1957,1,Female,40.71,-73.99,163145,249925,202328,722,4
19,5757,1164,Mastercard,Debit,2022-01-01,1,1,34900,1999-12-01,2012,0,43,70,1976,9,Male,37.76,-122.44,53797,109687,183855,675,1
20,27,68,Visa,Credit,2021-09-01,1,2,9900,2002-01-01,2019,0,42,70,1977,10,Male,41.55,-90.6,20599,41997,0,704,3
21,4648,68,Visa,Debit,2013-07-01,1,2,21587,2007-09-01,2007,0,42,70,1977,10,Male,41.55,-90.6,20599,41997,0,704,3
22,5435,68,Visa,Credit,2022-11-01,1,2,15800,2005-11-01,2011,0,42,70,1977,10,Male,41.55,-90.6,20599,41997,0,704,3
23,3287,1075,Mastercard,Debit,2022-04-01,1,1,29964,2005-06-01,2014,0,36,67,1983,12,Female,38.22,-85.74,25258,51500,102286,672,3
